2021-02-17 18:22:56,934 - log  - 添加中信海直股票数据到数据库--成功,用时-2.700403499999993
2021-02-17 18:22:56,935 - log  - 中信海直 共487条数据已添加到数据库！
2021-02-17 18:22:56,938 - log  - 初始化pro接口成功
2021-02-17 18:22:56,938 - log  - 抓取TCL科技股票数据
2021-02-17 18:22:59,631 - log  - 添加TCL科技股票数据到数据库--成功,用时-2.6919987000000276
2021-02-17 18:22:59,631 - log  - TCL科技 共486条数据已添加到数据库！
2021-02-17 18:22:59,634 - log  - 初始化pro接口成功
2021-02-17 18:22:59,634 - log  - 抓取宜华健康股票数据
2021-02-17 18:23:02,349 - log  - 添加宜华健康股票数据到数据库--成功,用时-2.714213000000001
2021-02-17 18:23:02,349 - log  - 宜华健康 共487条数据已添加到数据库！
2021-02-17 18:23:02,353 - log  - 初始化pro接口成功
2021-02-17 18:23:02,353 - log  - 抓取中成股份股票数据
2021-02-17 18:23:05,064 - log  - 添加中成股份股票数据到数据库--成功,用时-2.7109485999999947
2021-02-17 18:23:05,064 - log  - 中成股份 共487条数据已添加到数据库！
2021-02-17 18:23:05,068 - log  - 初始化pro接口成功
2021-02-17 18:23:05,068 - log  - 抓取丰原药业股票数据
2021-02-17 18:23:07,830 - log  - 添加丰原药业股票数据到数据库--成功,用时-2.7623820999999964
2021-02-17 18:23:07,830 - log  - 丰原药业 共487条数据已添加到数据库！
2021-02-17 18:23:07,834 - log  - 初始化pro接口成功
2021-02-17 18:23:07,834 - log  - 抓取川能动力股票数据
2021-02-17 18:23:10,710 - log  - 添加川能动力股票数据到数据库--成功,用时-2.875875900000011
2021-02-17 18:23:10,710 - log  - 川能动力 共477条数据已添加到数据库！
2021-02-17 18:23:10,714 - log  - 初始化pro接口成功
2021-02-17 18:23:10,714 - log  - 抓取华数传媒股票数据
2021-02-17 18:23:13,439 - log  - 添加华数传媒股票数据到数据库--成功,用时-2.7250669000000016
2021-02-17 18:23:13,440 - log  - 华数传媒 共478条数据已添加到数据库！
2021-02-17 18:23:13,443 - log  - 初始化pro接口成功
2021-02-17 18:23:13,444 - log  - 抓取中联重科股票数据
2021-02-17 18:23:16,336 - log  - 添加中联重科股票数据到数据库--成功,用时-2.8925700000000063
2021-02-17 18:23:16,336 - log  - 中联重科 共487条数据已添加到数据库！
2021-02-17 18:23:16,340 - log  - 初始化pro接口成功
2021-02-17 18:23:16,340 - log  - 抓取常山北明股票数据
2021-02-17 18:23:19,045 - log  - 添加常山北明股票数据到数据库--成功,用时-2.70467050000002
2021-02-17 18:23:19,045 - log  - 常山北明 共487条数据已添加到数据库！
2021-02-17 18:23:19,049 - log  - 初始化pro接口成功
2021-02-17 18:23:19,049 - log  - 抓取国际实业股票数据
2021-02-17 18:23:21,847 - log  - 添加国际实业股票数据到数据库--成功,用时-2.797294899999997
2021-02-17 18:23:21,847 - log  - 国际实业 共487条数据已添加到数据库！
2021-02-17 18:23:21,850 - log  - 初始化pro接口成功
2021-02-17 18:23:21,850 - log  - 抓取申万宏源股票数据
2021-02-17 18:23:25,098 - log  - 添加申万宏源股票数据到数据库--成功,用时-3.2484217999999885
2021-02-17 18:23:25,098 - log  - 申万宏源 共487条数据已添加到数据库！
2021-02-17 18:23:25,102 - log  - 初始化pro接口成功
2021-02-17 18:23:25,102 - log  - 抓取东方盛虹股票数据
2021-02-17 18:23:27,790 - log  - 添加东方盛虹股票数据到数据库--成功,用时-2.687630100000007
2021-02-17 18:23:27,790 - log  - 东方盛虹 共487条数据已添加到数据库！
2021-02-17 18:23:27,794 - log  - 初始化pro接口成功
2021-02-17 18:23:27,794 - log  - 抓取美的集团股票数据
2021-02-17 18:23:30,619 - log  - 添加美的集团股票数据到数据库--成功,用时-2.8241873999999996
2021-02-17 18:23:30,619 - log  - 美的集团 共476条数据已添加到数据库！
2021-02-17 18:23:30,622 - log  - 初始化pro接口成功
2021-02-17 18:23:30,622 - log  - 抓取潍柴动力股票数据
2021-02-17 18:23:33,458 - log  - 添加潍柴动力股票数据到数据库--成功,用时-2.8358517000000063
2021-02-17 18:23:33,458 - log  - 潍柴动力 共487条数据已添加到数据库！
2021-02-17 18:23:33,461 - log  - 初始化pro接口成功
2021-02-17 18:23:33,462 - log  - 抓取许继电气股票数据
2021-02-17 18:23:36,284 - log  - 添加许继电气股票数据到数据库--成功,用时-2.8218755999999985
2021-02-17 18:23:36,284 - log  - 许继电气 共487条数据已添加到数据库！
2021-02-17 18:23:36,288 - log  - 初始化pro接口成功
2021-02-17 18:23:36,288 - log  - 抓取冀东水泥股票数据
2021-02-17 18:23:39,623 - log  - 添加冀东水泥股票数据到数据库--成功,用时-3.3349322999999913
2021-02-17 18:23:39,623 - log  - 冀东水泥 共487条数据已添加到数据库！
2021-02-17 18:23:39,627 - log  - 初始化pro接口成功
2021-02-17 18:23:39,627 - log  - 抓取金融街股票数据
2021-02-17 18:23:42,553 - log  - 添加金融街股票数据到数据库--成功,用时-2.925513799999976
2021-02-17 18:23:42,553 - log  - 金融街 共487条数据已添加到数据库！
2021-02-17 18:23:42,557 - log  - 初始化pro接口成功
2021-02-17 18:23:42,557 - log  - 抓取双林生物股票数据
2021-02-17 18:23:45,305 - log  - 添加双林生物股票数据到数据库--成功,用时-2.7482124
2021-02-17 18:23:45,305 - log  - 双林生物 共476条数据已添加到数据库！
2021-02-17 18:23:45,309 - log  - 初始化pro接口成功
2021-02-17 18:23:45,309 - log  - 抓取长虹华意股票数据
2021-02-17 18:23:48,110 - log  - 添加长虹华意股票数据到数据库--成功,用时-2.800181000000009
2021-02-17 18:23:48,110 - log  - 长虹华意 共487条数据已添加到数据库！
2021-02-17 18:23:48,113 - log  - 初始化pro接口成功
2021-02-17 18:23:48,113 - log  - 抓取胜利股份股票数据
2021-02-17 18:23:50,875 - log  - 添加胜利股份股票数据到数据库--成功,用时-2.761213699999985
2021-02-17 18:23:50,875 - log  - 胜利股份 共487条数据已添加到数据库！
2021-02-17 18:23:50,878 - log  - 初始化pro接口成功
2021-02-17 18:23:50,878 - log  - 抓取*ST藏格股票数据
2021-02-17 18:23:53,689 - log  - 添加*ST藏格股票数据到数据库--成功,用时-2.810498700000011
